task_id,task_type,criticality,data_size_kb,deadline_ms,vehicle_speed_kmph,current_location,network_condition,edge_node_distance_km,computation_intensity_flops,cost_weight_preference,time_of_day,mobility_pattern,rule_based_alpha,context_text,llm_priority_score
37,Diagnostics,Medium,2191,100,18,Urban,Poor,0.61,9227603472,Latency-Oriented,Off-Peak,Stable,0.36,Predictive maintenance for engine while vehicle moves at 18 km/h. Network condition: Poor.,0.654
38,V2X Communication,High,3109,800,20,Urban,Excellent,6.73,7339447787,Cost-Sensitive,Off-Peak,Stable,0.78,Vehicle-to-vehicle alert for intersection in Urban area. Network: Excellent.,0.756
39,Safety,Medium,4598,300,4,Urban,Excellent,0.54,961247141,Balanced,Off-Peak,Stable,0.55,Emergency braking needed at 4 km/h in urban area during off-peak time. Network: excellent.,0.753
40,Infotainment,High,3009,300,81,Urban,Congested,5.92,6894515445,Balanced,Off-Peak,Stable,0.01,Social media update requested while vehicle is moving in urban area. User is balanced.,0.352
41,Navigation,High,2315,500,91,Rural,Excellent,9.99,1255317876,Latency-Oriented,Off-Peak,High-Mobility,0.76,Route recalculation needed due to road closure ahead. Vehicle speed: 91 km/h.,0.856
42,Safety,Low,2529,100,41,Rural,Excellent,5.6,7820457559,Balanced,Off-Peak,Stable,0.04,Emergency lane change needed at 41 km/h in rural area during off-peak time. Network: excellent.,0.658
43,Navigation,Low,4696,300,60,Highway,Congested,4.78,149909831,Latency-Oriented,Peak,High-Mobility,0.75,Route recalculation needed due to accident ahead. Vehicle speed: 60 km/h.,0.578
44,Infotainment,High,1685,300,21,Rural,Congested,3.2,411157009,Balanced,Off-Peak,High-Mobility,0.2,Video playback requested while vehicle is moving in rural area. User is balanced.,0.356
45,Infotainment,High,1807,100,20,Rural,Poor,1.29,6080714303,Latency-Oriented,Peak,Stable,0.96,Video playback requested while vehicle is moving in rural area. User is latency-oriented.,0.156
46,Safety,Low,4502,100,69,Highway,Excellent,7.34,6456288877,Cost-Sensitive,Peak,Stable,0.37,Emergency lane change needed at 69 km/h in highway area during peak time. Network: excellent.,0.753
47,Infotainment,Low,2120,300,0,Rural,Excellent,2.01,5647648543,Balanced,Off-Peak,High-Mobility,0.33,Social media update requested while vehicle is stationary in rural area. User is balanced.,0.456
48,V2X Communication,Low,2899,100,4,Urban,Poor,1.24,3794197536,Balanced,Peak,Stable,0.15,Vehicle-to-pedestrian alert for hazard in Urban area. Network: Poor.,0.658
49,Infotainment,Medium,3301,300,104,Urban,Fair,4.28,270161543,Latency-Oriented,Off-Peak,Stable,0.31,Social media update requested while vehicle is moving in urban area. User is latency-oriented.,0.589
50,Navigation,High,3780,300,11,Highway,Fair,7.97,9140606295,Latency-Oriented,Peak,High-Mobility,0.88,Route recalculation needed due to road closure ahead. Vehicle speed: 11 km/h.,0.678
51,Navigation,Low,2539,500,89,Highway,Fair,7.48,1139575440,Balanced,Off-Peak,High-Mobility,1.0,Route recalculation needed due to accident ahead. Vehicle speed: 89 km/h.,0.456
52,Navigation,High,1681,50,45,Highway,Poor,0.64,5006981023,Latency-Oriented,Peak,High-Mobility,0.37,Route recalculation needed due to road closure ahead. Vehicle speed: 45 km/h.,0.821
53,Navigation,Medium,2866,300,33,Urban,Excellent,4.61,7049925973,Balanced,Off-Peak,Stable,0.45,Route recalculation needed due to accident ahead. Vehicle speed: 33 km/h.,0.576
54,V2X Communication,Medium,1065,200,48,Rural,Poor,5.27,2503672777,Cost-Sensitive,Off-Peak,High-Mobility,0.72,Vehicle-to-vehicle alert for hazard in Rural area. Network: Poor.,0.654
55,Diagnostics,Low,1398,800,77,Urban,Poor,6.48,5797107963,Latency-Oriented,Off-Peak,Stable,0.89,Predictive maintenance for battery while vehicle moves at 77 km/h. Network condition: Poor.,0.589
56,Safety,Medium,4661,1000,89,Highway,Fair,6.54,2323554561,Balanced,Off-Peak,High-Mobility,0.59,Emergency braking needed at 89 km/h in highway area during off-peak time. Network: fair.,0.654
57,Navigation,High,3137,50,44,Rural,Good,3.71,477383712,Cost-Sensitive,Peak,High-Mobility,0.39,Route recalculation needed due to road closure ahead. Vehicle speed: 44 km/h.,0.753
58,Infotainment,Low,2889,50,26,Rural,Excellent,5.65,1605931212,Cost-Sensitive,Off-Peak,High-Mobility,0.41,Music streaming requested while vehicle is moving in rural area. User is cost-sensitive.,0.354
59,Navigation,High,385,50,72,Urban,Fair,4.86,4537573536,Balanced,Peak,Stable,0.7,Route recalculation needed due to accident ahead. Vehicle speed: 72 km/h.,0.956
60,Infotainment,High,4642,500,25,Highway,Good,8.86,437492083,Latency-Oriented,Peak,Stable,0.0,Video playback requested while vehicle is moving in highway area. User is latency-oriented.,0.476
61,Infotainment,Medium,945,300,46,Urban,Good,5.35,6099739797,Balanced,Peak,High-Mobility,0.62,Video playback requested while vehicle is moving in urban area. User is balanced.,0.589
62,Navigation,Medium,3596,500,85,Rural,Congested,4.47,9259944385,Cost-Sensitive,Off-Peak,High-Mobility,0.36,Route recalculation needed due to accident ahead. Vehicle speed: 85 km/h.,0.672
63,V2X Communication,Medium,901,300,110,Urban,Excellent,4.1,6832536678,Balanced,Peak,High-Mobility,0.79,Vehicle-to-pedestrian alert for hazard in Urban area. Network: Excellent.,0.756
64,Infotainment,Medium,1737,500,55,Urban,Good,5.77,7356196781,Latency-Oriented,Peak,Stable,0.09,Social media update requested while vehicle is moving in urban area. User is latency-oriented.,0.467
65,Infotainment,Medium,1981,500,93,Highway,Fair,8.06,7833460977,Cost-Sensitive,Peak,High-Mobility,0.59,Video playback requested while vehicle is moving in highway area. User is cost-sensitive.,0.456
66,Navigation,Low,3796,800,106,Highway,Congested,5.43,9549573345,Balanced,Off-Peak,Stable,0.48,Route recalculation needed due to road closure ahead. Vehicle speed: 106 km/h.,0.458
67,Infotainment,High,2477,200,62,Rural,Excellent,6.65,5114299510,Latency-Oriented,Off-Peak,High-Mobility,0.64,Music streaming requested while vehicle is moving in rural area. User is latency-oriented.,0.453
68,Infotainment,High,1618,500,47,Urban,Poor,7.4,3134290114,Cost-Sensitive,Peak,High-Mobility,0.06,Social media update requested while vehicle is moving in urban area. User is cost-sensitive.,0.256
69,Navigation,High,4050,800,60,Urban,Fair,5.25,8825596037,Latency-Oriented,Off-Peak,High-Mobility,0.58,Route recalculation needed due to traffic jam ahead. Vehicle speed: 60 km/h.,0.753
70,Navigation,High,2788,100,80,Urban,Good,4.33,4121000965,Cost-Sensitive,Off-Peak,High-Mobility,0.56,Route recalculation needed due to road closure ahead. Vehicle speed: 80 km/h.,0.756
71,Safety,Medium,3548,200,25,Rural,Good,8.78,323214950,Balanced,Peak,High-Mobility,0.56,Emergency braking needed at 25 km/h in rural area during peak time. Network: good.,0.768
72,V2X Communication,High,3963,500,35,Rural,Fair,4.23,3145391729,Latency-Oriented,Peak,High-Mobility,0.6,Vehicle-to-vehicle alert for speed limit in Rural area. Network: Fair.,0.756
73,V2X Communication,Low,1116,1000,0,Highway,Good,4.67,9034025222,Cost-Sensitive,Off-Peak,Stable,0.68,Vehicle-to-vehicle alert for speed limit in Highway area. Network: Good.,0.658
74,Infotainment,Low,4430,50,7,Highway,Congested,9.9,7905234489,Latency-Oriented,Peak,High-Mobility,0.8,Video playback requested while vehicle is moving in highway area. User is latency-oriented.,0.356
75,V2X Communication,High,2494,100,112,Highway,Excellent,0.1,6337659545,Latency-Oriented,Off-Peak,Stable,0.27,Vehicle-to-infrastructure alert for intersection in Highway area. Network: Excellent.,0.95
76,Infotainment,High,4157,100,98,Urban,Congested,1.94,4745565386,Balanced,Off-Peak,High-Mobility,0.83,Social media update requested while vehicle is moving in urban area. User is balanced.,0.275
77,Safety,Low,3423,800,51,Urban,Good,3.9,4654177525,Latency-Oriented,Off-Peak,High-Mobility,0.5,Emergency collision avoidance needed at 51 km/h in urban area during off-peak time. Network: good.,0.678
78,Navigation,Low,4019,100,78,Highway,Poor,9.33,3844281900,Cost-Sensitive,Off-Peak,Stable,0.08,Route recalculation needed due to road closure ahead. Vehicle speed: 78 km/h.,0.456
79,Navigation,Medium,2596,200,46,Urban,Excellent,0.79,9631451513,Cost-Sensitive,Off-Peak,High-Mobility,0.06,Route recalculation needed due to traffic jam ahead. Vehicle speed: 46 km/h.,0.592
80,Navigation,Low,803,500,55,Highway,Excellent,0.19,5841923683,Cost-Sensitive,Off-Peak,Stable,0.33,Route recalculation needed due to traffic jam ahead. Vehicle speed: 55 km/h.,0.476
81,V2X Communication,Medium,2132,500,85,Rural,Fair,0.62,882190471,Cost-Sensitive,Peak,Stable,0.78,Vehicle-to-pedestrian alert for hazard in Rural area. Network: Fair.,0.678
82,Safety,Medium,2824,1000,13,Highway,Fair,0.98,3491729270,Balanced,Peak,High-Mobility,0.71,Emergency braking needed at 13 km/h in highway area during peak time. Network: fair.,0.678
83,V2X Communication,Medium,2946,50,89,Rural,Poor,0.47,2929128374,Latency-Oriented,Off-Peak,Stable,0.79,Vehicle-to-infrastructure alert for speed limit in Rural area. Network: Poor.,0.658
84,V2X Communication,Medium,4235,800,27,Urban,Excellent,4.85,7483915409,Balanced,Off-Peak,Stable,0.52,Vehicle-to-infrastructure alert for speed limit in Urban area. Network: Excellent.,0.689
85,Safety,Medium,825,50,86,Highway,Poor,5.85,9671140245,Latency-Oriented,Off-Peak,High-Mobility,0.44,Emergency braking needed at 86 km/h in highway area during off-peak time. Network: poor.,0.753
86,Safety,High,1675,100,77,Urban,Fair,2.79,4379221599,Latency-Oriented,Peak,Stable,0.15,Emergency collision avoidance needed at 77 km/h in urban area during peak time. Network: fair.,0.923
87,Safety,Low,3119,1000,87,Rural,Fair,4.04,410089820,Latency-Oriented,Off-Peak,High-Mobility,0.33,Emergency braking needed at 87 km/h in rural area during off-peak time. Network: fair.,0.456
88,Safety,Medium,467,50,1,Rural,Excellent,1.01,4526618814,Balanced,Peak,High-Mobility,0.43,Emergency braking needed at 1 km/h in rural area during peak time. Network: excellent.,0.753
89,Navigation,Low,164,200,108,Rural,Congested,3.43,9796674144,Latency-Oriented,Off-Peak,High-Mobility,0.09,Route recalculation needed due to traffic jam ahead. Vehicle speed: 108 km/h.,0.654
90,Diagnostics,Low,666,500,25,Urban,Good,5.27,3829202013,Balanced,Off-Peak,High-Mobility,0.22,Predictive maintenance for brakes while vehicle moves at 25 km/h. Network condition: Good.,0.678
91,Diagnostics,Medium,4024,100,13,Urban,Fair,7.35,3223167390,Cost-Sensitive,Peak,Stable,0.6,Predictive maintenance for brakes while vehicle moves at 13 km/h. Network condition: Fair.,0.658
92,Safety,High,3317,1000,58,Urban,Fair,0.13,7584867516,Cost-Sensitive,Peak,High-Mobility,0.74,Emergency lane change needed at 58 km/h in urban area during peak time. Network: fair.,0.723
93,Diagnostics,Medium,875,50,55,Urban,Congested,4.73,1585779459,Latency-Oriented,Off-Peak,High-Mobility,1.0,Predictive maintenance for battery while vehicle moves at 55 km/h. Network condition: Congested.,0.792
94,Diagnostics,High,1566,800,114,Rural,Congested,3.04,8636889875,Balanced,Off-Peak,Stable,0.93,Predictive maintenance for engine while vehicle moves at 114 km/h. Network condition: Congested.,0.856
95,Safety,Low,3196,200,6,Rural,Poor,8.54,8118839216,Cost-Sensitive,Off-Peak,High-Mobility,0.64,Emergency collision avoidance needed at 6 km/h in rural area during off-peak time. Network: poor.,0.753
96,Diagnostics,High,462,200,2,Highway,Poor,7.18,1983838883,Balanced,Peak,High-Mobility,0.42,Predictive maintenance for brakes while vehicle moves at 2 km/h. Network condition: Poor.,0.658
97,V2X Communication,High,778,50,110,Highway,Good,5.93,7509925236,Balanced,Peak,Stable,0.64,Vehicle-to-pedestrian alert for hazard in Highway area. Network: Good.,0.952
98,Infotainment,High,3398,500,22,Urban,Good,2.84,6485194495,Latency-Oriented,Peak,Stable,0.79,Music streaming requested while vehicle is moving in urban area. User is latency-oriented.,0.456
99,Infotainment,Low,2858,50,109,Rural,Excellent,9.11,9878900905,Cost-Sensitive,Peak,Stable,0.12,Video playback requested while vehicle is moving in rural area. User is cost-sensitive.,0.278
100,Safety,Low,725,100,106,Rural,Poor,0.55,8313538037,Latency-Oriented,Peak,Stable,0.41,Emergency lane change needed at 106 km/h in rural area during peak time. Network: poor.,0.753
101,Navigation,High,3515,50,110,Rural,Fair,1.18,1004787211,Latency-Oriented,Peak,Stable,0.84,Route recalculation needed due to road closure ahead. Vehicle speed: 110 km/h.,0.932
102,Safety,High,2554,200,108,Highway,Poor,3.98,7107497767,Cost-Sensitive,Off-Peak,Stable,0.38,Emergency lane change needed at 108 km/h in highway area during off-peak time. Network: poor.,0.856
103,Navigation,Medium,3017,1000,17,Highway,Fair,1.33,3248696462,Cost-Sensitive,Off-Peak,Stable,0.57,Route recalculation needed due to accident ahead. Vehicle speed: 17 km/h.,0.567
104,Infotainment,High,2836,50,37,Rural,Congested,9.57,665078882,Balanced,Peak,High-Mobility,0.59,Music streaming requested while vehicle is moving in rural area. User is balanced.,0.456
105,Safety,Medium,1172,500,98,Rural,Poor,8.0,7469412103,Cost-Sensitive,Off-Peak,Stable,0.18,Emergency lane change needed at 98 km/h in rural area during off-peak time. Network: poor.,0.756
106,V2X Communication,High,4129,1000,114,Rural,Congested,2.66,5166700374,Balanced,Off-Peak,Stable,0.36,Vehicle-to-infrastructure alert for hazard in Rural area. Network: Congested.,0.756
107,Diagnostics,Medium,1621,800,14,Highway,Good,5.93,5415208107,Balanced,Peak,Stable,0.33,Predictive maintenance for engine while vehicle moves at 14 km/h. Network condition: Good.,0.678
108,Navigation,Low,2193,300,63,Rural,Good,9.83,8567077453,Balanced,Off-Peak,High-Mobility,0.03,Route recalculation needed due to road closure ahead. Vehicle speed: 63 km/h.,0.589
109,Diagnostics,High,1737,50,88,Rural,Excellent,8.85,5172257398,Cost-Sensitive,Peak,High-Mobility,0.02,Predictive maintenance for brakes while vehicle moves at 88 km/h. Network condition: Excellent.,0.952
110,Diagnostics,High,4182,500,118,Urban,Poor,6.05,3769556036,Latency-Oriented,Peak,Stable,0.83,Predictive maintenance for engine while vehicle moves at 118 km/h. Network condition: Poor.,0.756
111,Safety,High,3901,1000,100,Urban,Congested,9.05,6509284588,Balanced,Off-Peak,Stable,0.27,Emergency collision avoidance needed at 100 km/h in urban area during off-peak time. Network: congested.,0.85
112,Diagnostics,High,3490,500,27,Highway,Fair,9.89,1161849405,Latency-Oriented,Peak,Stable,0.52,Predictive maintenance for battery while vehicle moves at 27 km/h. Network condition: Fair.,0.856
113,V2X Communication,Medium,3816,800,73,Rural,Good,7.46,8134809659,Latency-Oriented,Peak,High-Mobility,0.3,Vehicle-to-infrastructure alert for speed limit in Rural area. Network: Good.,0.654
114,Diagnostics,High,2376,200,38,Rural,Good,0.74,2012571502,Cost-Sensitive,Peak,High-Mobility,0.94,Predictive maintenance for battery while vehicle moves at 38 km/h. Network condition: Good.,0.765
115,Safety,Low,2964,500,56,Urban,Fair,4.08,6606090999,Latency-Oriented,Peak,Stable,0.26,Emergency braking needed at 56 km/h in urban area during peak time. Network: fair.,0.723
116,V2X Communication,Low,4002,1000,16,Highway,Congested,8.39,9392264261,Latency-Oriented,Peak,High-Mobility,0.43,Vehicle-to-pedestrian alert for speed limit in Highway area. Network: Congested.,0.576
117,Infotainment,High,645,500,102,Urban,Congested,2.38,1779682426,Cost-Sensitive,Peak,Stable,0.87,Music streaming requested while vehicle is moving in urban area. User is cost-sensitive.,0.356
118,Diagnostics,Low,778,500,85,Urban,Poor,8.32,4263594232,Balanced,Peak,High-Mobility,0.84,Predictive maintenance for engine while vehicle moves at 85 km/h. Network condition: Poor.,0.427
119,Safety,High,1415,500,89,Urban,Poor,1.29,1496680702,Latency-Oriented,Peak,High-Mobility,0.19,Emergency collision avoidance needed at 89 km/h in urban area during peak time. Network: poor.,0.753
120,Infotainment,High,4542,100,43,Urban,Excellent,0.56,3422041767,Cost-Sensitive,Off-Peak,Stable,0.8,Video playback requested while vehicle is moving in urban area. User is cost-sensitive.,0.256
121,Infotainment,Low,748,100,24,Rural,Good,3.9,9703763594,Latency-Oriented,Off-Peak,Stable,0.46,Social media update requested while vehicle is moving in rural area. User is latency-oriented.,0.567
122,Navigation,High,445,200,16,Rural,Poor,0.46,4710633410,Latency-Oriented,Off-Peak,Stable,0.48,Route recalculation needed due to road closure ahead. Vehicle speed: 16 km/h.,0.753
123,V2X Communication,Low,4221,50,12,Urban,Congested,9.58,5124071949,Balanced,Peak,Stable,0.13,Vehicle-to-pedestrian alert for hazard in Urban area. Network: Congested.,0.654
124,Diagnostics,Medium,4410,500,83,Highway,Fair,8.28,1547417609,Latency-Oriented,Peak,High-Mobility,0.08,Predictive maintenance for engine while vehicle moves at 83 km/h. Network condition: Fair.,0.654
125,Safety,High,2552,800,24,Highway,Congested,8.03,1950647808,Cost-Sensitive,Off-Peak,High-Mobility,0.73,Emergency lane change needed at 24 km/h in highway area during off-peak time. Network: congested.,0.856
126,Navigation,Medium,1869,50,67,Highway,Good,6.33,1168219667,Latency-Oriented,Off-Peak,High-Mobility,0.5,Route recalculation needed due to accident ahead. Vehicle speed: 67 km/h.,0.594
127,V2X Communication,Low,767,800,9,Highway,Congested,2.24,817439551,Balanced,Off-Peak,Stable,0.44,Vehicle-to-pedestrian alert for intersection in Highway area. Network: Congested.,0.678
128,Navigation,Medium,2832,50,66,Urban,Excellent,5.23,5114886355,Balanced,Peak,High-Mobility,0.73,Route recalculation needed due to road closure ahead. Vehicle speed: 66 km/h.,0.592
129,V2X Communication,Medium,4996,200,104,Rural,Good,6.01,3725684464,Cost-Sensitive,Off-Peak,Stable,0.77,Vehicle-to-infrastructure alert for hazard in Rural area. Network: Good.,0.756
130,V2X Communication,Low,3627,500,108,Highway,Fair,5.3,5279048555,Balanced,Off-Peak,High-Mobility,0.16,Vehicle-to-vehicle alert for intersection in Highway area. Network: Fair.,0.675
131,Diagnostics,Medium,193,500,17,Urban,Excellent,2.68,9170625724,Latency-Oriented,Peak,Stable,0.61,Predictive maintenance for battery while vehicle moves at 17 km/h. Network condition: Excellent.,0.654
132,V2X Communication,Medium,3190,300,110,Highway,Good,5.2,4640153473,Balanced,Off-Peak,Stable,0.14,Vehicle-to-pedestrian alert for intersection in Highway area. Network: Good.,0.756
133,Navigation,Low,4541,800,99,Highway,Fair,4.96,2381355774,Cost-Sensitive,Peak,High-Mobility,0.75,Route recalculation needed due to accident ahead. Vehicle speed: 99 km/h.,0.456
134,V2X Communication,Medium,2988,50,110,Urban,Excellent,9.96,4122690835,Balanced,Peak,Stable,0.66,Vehicle-to-vehicle alert for intersection in Urban area. Network: Excellent.,0.85
135,Diagnostics,Low,3686,50,85,Rural,Excellent,8.98,4563946524,Balanced,Peak,Stable,0.96,Predictive maintenance for brakes while vehicle moves at 85 km/h. Network condition: Excellent.,0.672
136,Diagnostics,Medium,3272,100,33,Rural,Good,4.69,624458102,Balanced,Off-Peak,High-Mobility,0.07,Predictive maintenance for battery while vehicle moves at 33 km/h. Network condition: Good.,0.576
137,Navigation,Low,1217,300,110,Urban,Poor,6.27,4110962676,Cost-Sensitive,Off-Peak,Stable,0.06,Route recalculation needed due to road closure ahead. Vehicle speed: 110 km/h.,0.456
138,Infotainment,Low,2666,1000,7,Rural,Excellent,7.5,2278556912,Balanced,Peak,Stable,0.28,Music streaming requested while vehicle is moving in rural area. User is balanced.,0.456
139,Infotainment,Medium,1112,1000,39,Urban,Excellent,0.45,8868488653,Balanced,Off-Peak,Stable,0.26,Social media update requested while vehicle is moving in urban area. User is balanced.,0.456
140,V2X Communication,Medium,2206,100,112,Urban,Fair,8.96,8540120535,Latency-Oriented,Off-Peak,High-Mobility,0.25,Vehicle-to-vehicle alert for hazard in Urban area. Network: Fair.,0.756
141,Safety,Medium,3032,100,107,Urban,Congested,8.62,8711151658,Cost-Sensitive,Off-Peak,High-Mobility,0.91,Emergency braking needed at 107 km/h in urban area during off-peak time. Network: congested.,0.894
142,V2X Communication,High,3344,100,82,Rural,Good,4.63,8482967777,Balanced,Off-Peak,Stable,0.25,Vehicle-to-infrastructure alert for speed limit in Rural area. Network: Good.,0.915
143,Navigation,High,4779,800,41,Urban,Good,3.97,2844999217,Cost-Sensitive,Peak,High-Mobility,0.27,Route recalculation needed due to traffic jam ahead. Vehicle speed: 41 km/h.,0.689
144,Navigation,High,1206,800,40,Highway,Poor,2.8,3827680696,Balanced,Off-Peak,Stable,0.76,Route recalculation needed due to road closure ahead. Vehicle speed: 40 km/h.,0.625
145,Navigation,Low,782,200,100,Rural,Poor,4.82,4994764883,Balanced,Peak,Stable,0.45,Route recalculation needed due to traffic jam ahead. Vehicle speed: 100 km/h.,0.467
146,Navigation,Medium,4380,200,5,Rural,Good,0.54,8818670207,Balanced,Peak,Stable,0.78,Route recalculation needed due to road closure ahead. Vehicle speed: 5 km/h.,0.623
